#LINK,,,,,,,,
#file_name,keifuku_rosenkeitou,,,,,,,
#lang,ja,,,,,,,
#attribution_name,fukuishi,,,,,,,
#property,路線番号,系統番号,順序,バス停番号,バス停番号枝番,路線名,系統名,バス停名
#object_type_xsd,int,int,int,int,int,string,string,string
#property_context,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion
1351,7,9,36,819,2,コミュニティバス,坂井市　丸岡春江ルート　左回り⑥便,南横地
1352,7,9,37,4084,0,コミュニティバス,坂井市　丸岡春江ルート　左回り⑥便,磯部コミュニティセンター
1353,7,9,38,4085,0,コミュニティバス,坂井市　丸岡春江ルート　左回り⑥便,下安田
1354,7,9,39,4086,0,コミュニティバス,坂井市　丸岡春江ルート　左回り⑥便,安田新
1355,7,9,40,901,0,コミュニティバス,坂井市　丸岡春江ルート　左回り⑥便,四ツ柳
1356,7,9,41,4089,0,コミュニティバス,坂井市　丸岡春江ルート　左回り⑥便,高田
1357,7,9,42,4090,0,コミュニティバス,坂井市　丸岡春江ルート　左回り⑥便,油為頭
1358,7,9,43,4091,0,コミュニティバス,坂井市　丸岡春江ルート　左回り⑥便,板倉南
1359,7,9,44,4092,0,コミュニティバス,坂井市　丸岡春江ルート　左回り⑥便,板倉北
1360,7,9,45,4093,0,コミュニティバス,坂井市　丸岡春江ルート　左回り⑥便,末政
1361,7,9,46,879,0,コミュニティバス,坂井市　丸岡春江ルート　左回り⑥便,新間
1362,7,9,47,4053,0,コミュニティバス,坂井市　丸岡春江ルート　左回り⑥便,猪爪
1363,7,9,48,4052,0,コミュニティバス,坂井市　丸岡春江ルート　左回り⑥便,八幡町
1364,7,9,49,4051,0,コミュニティバス,坂井市　丸岡春江ルート　左回り⑥便,石城戸町
1365,7,9,50,825,11,コミュニティバス,坂井市　丸岡春江ルート　左回り⑥便,丸岡バスターミナル
1366,7,10,1,4043,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,霞の郷
1367,7,10,2,4044,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,城北
1368,7,10,3,4056,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,栄
1369,7,10,4,4057,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,乾町
1370,7,10,5,4058,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,田町
1371,7,10,6,4124,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,西里丸岡１区北
1372,7,10,7,4123,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,西里丸岡１区
1373,7,10,8,825,11,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,丸岡バスターミナル
1374,7,10,9,4164,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,本町
1375,7,10,10,4165,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,室町
1376,7,10,11,4058,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,田町
1377,7,10,12,4059,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,一本田福所
1378,7,10,13,4060,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,田島窪
1379,7,10,14,4061,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,田島
1380,7,10,15,4167,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,田島新
1381,7,10,16,4062,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,宮領
1382,7,10,17,4063,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,朝日
1383,7,10,18,4024,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,駅前区
1384,7,10,19,716,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,ＪＲ丸岡駅
1385,7,10,20,4023,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,東十郷コミュニティセンター
1386,7,10,21,4022,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,坂井市役所
1387,7,10,22,4021,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,坂井老人福祉センター
1388,7,10,23,4020,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,いねす
1389,7,10,24,4064,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,東長田
1390,7,10,25,4065,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,西長田
1391,7,10,26,4071,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,春日野口
1392,7,10,27,4072,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,松木
1393,7,10,28,4073,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,西春江ハートピア駅
1394,7,10,29,4074,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,春江中学校
1395,7,10,30,4075,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,春江支所
1396,7,10,31,840,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,エンゼルランドふくい
1397,7,10,32,699,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,春江病院
1398,7,10,33,4470,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,江留下屋敷
1399,7,10,34,4078,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,ＪＲ春江駅
1400,7,10,35,4079,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,為国幸
1401,7,10,36,4080,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,中筋高田
1402,7,10,37,4081,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,中筋
1403,7,10,38,4082,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,中筋東
1404,7,10,39,819,2,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,南横地
1405,7,10,40,4084,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,磯部コミュニティセンター
1406,7,10,41,4085,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,下安田
1407,7,10,42,4086,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,安田新
1408,7,10,43,4087,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,丸岡南中
1409,7,10,44,901,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,四ツ柳
1410,7,10,45,4089,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,高田
1411,7,10,46,4090,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,油為頭
1412,7,10,47,4094,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,高椋東部コミュニティセンター
1413,7,10,48,4463,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,末政西
1414,7,10,49,879,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,新間
1415,7,10,50,4053,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,猪爪
1416,7,10,51,4052,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,八幡町
1417,7,10,52,4051,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,石城戸町
1418,7,10,53,825,11,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,丸岡バスターミナル
1419,7,10,54,2003,1,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,丸岡中央商店街
1420,7,10,55,4047,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,霞交番前
1421,7,10,56,4046,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,仲村の家具
1422,7,10,57,4045,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,城北ふれあい会館前
1423,7,10,58,4044,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,城北
1424,7,10,59,4043,0,コミュニティバス,坂井市　丸岡春江ルート　左回り②③④便,霞の郷
1425,7,11,1,825,11,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,丸岡バスターミナル
1426,7,11,2,2003,1,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,丸岡中央商店街
1427,7,11,3,4048,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,丸岡高校前
1428,7,11,4,4054,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,一筆啓上茶屋
1429,7,11,5,4055,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,北霞
1430,7,11,6,4058,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,田町
1431,7,11,7,4059,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,一本田福所
1432,7,11,8,4060,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,田島窪
1433,7,11,9,4061,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,田島
1434,7,11,10,4167,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,田島新
1435,7,11,11,4062,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,宮領
1436,7,11,12,4063,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,朝日
1437,7,11,13,4024,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,駅前区
1438,7,11,14,716,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,ＪＲ丸岡駅
1439,7,11,15,4023,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,東十郷コミュニティセンター
1440,7,11,16,4022,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,坂井市役所
1441,7,11,17,4021,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,坂井老人福祉センター
1442,7,11,18,4020,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,いねす
1443,7,11,19,4064,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,東長田
1444,7,11,20,4065,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,西長田
1445,7,11,21,4066,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,リリータウン
1446,7,11,22,4067,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,大石コミュニティセンター
1447,7,11,23,4068,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,ゆりの里
1448,7,11,24,4069,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,石塚口
1449,7,11,25,4070,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,中庄
1450,7,11,26,4072,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,松木
1451,7,11,27,4073,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,西春江ハートピア駅
1452,7,11,28,4074,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,春江中学校
1453,7,11,29,4075,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,春江支所
1454,7,11,30,4077,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,春江小学校東
1455,7,11,31,4078,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,ＪＲ春江駅
1456,7,11,32,4079,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,為国幸
1457,7,11,33,4080,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,中筋高田
1458,7,11,34,4081,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,中筋
1459,7,11,35,4082,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,中筋東
1460,7,11,36,819,2,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,南横地
1461,7,11,37,4084,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,磯部コミュニティセンター
1462,7,11,38,4085,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,下安田
1463,7,11,39,4086,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,安田新
1464,7,11,40,901,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,四ツ柳
1465,7,11,41,4089,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,高田
1466,7,11,42,4090,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,油為頭
1467,7,11,43,4091,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,板倉南
1468,7,11,44,4092,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,板倉北
1469,7,11,45,4093,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,末政
1470,7,11,46,879,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,新間
1471,7,11,47,4053,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,猪爪
1472,7,11,48,4052,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,八幡町
1473,7,11,49,4051,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,石城戸町
1474,7,11,50,2003,1,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,丸岡中央商店街
1475,7,11,51,4048,0,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,丸岡高校前
1476,7,11,52,2003,1,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,丸岡中央商店街
1477,7,11,53,825,11,コミュニティバス,坂井市　丸岡春江ルート　左回り①便,丸岡バスターミナル
1478,8,1,1,795,0,コミュニティバス,坂井市　雄島ルート　①③便,三国病院
1479,8,1,2,4004,0,コミュニティバス,坂井市　雄島ルート　①③便,みくに市民センター
1480,8,1,3,4002,0,コミュニティバス,坂井市　雄島ルート　①③便,イーザ
1481,8,1,4,4001,0,コミュニティバス,坂井市　雄島ルート　①③便,三国郵便局
1482,8,1,5,4000,0,コミュニティバス,坂井市　雄島ルート　①③便,三国駅前
1483,8,1,6,4042,0,コミュニティバス,坂井市　雄島ルート　①③便,三国図書館
1484,8,1,7,4096,0,コミュニティバス,坂井市　雄島ルート　①③便,つつじが丘
1485,8,1,8,4097,0,コミュニティバス,坂井市　雄島ルート　①③便,運動公園北口
1486,8,1,9,734,0,コミュニティバス,坂井市　雄島ルート　①③便,陣ケ岡
1487,8,1,10,4099,0,コミュニティバス,坂井市　雄島ルート　①③便,雄島小学校口
1488,8,1,11,4100,0,コミュニティバス,坂井市　雄島ルート　①③便,浜地
1489,8,1,12,4101,0,コミュニティバス,坂井市　雄島ルート　①③便,梶浦
1490,8,1,13,4102,0,コミュニティバス,坂井市　雄島ルート　①③便,松島水族館
1491,8,1,14,4103,0,コミュニティバス,坂井市　雄島ルート　①③便,崎浦
1492,8,1,15,4104,0,コミュニティバス,坂井市　雄島ルート　①③便,安島
1493,8,1,16,656,0,コミュニティバス,坂井市　雄島ルート　①③便,東尋坊
1494,8,1,17,4106,0,コミュニティバス,坂井市　雄島ルート　①③便,米ケ脇公園前
1495,8,1,18,4107,0,コミュニティバス,坂井市　雄島ルート　①③便,宿
1496,8,1,19,4108,0,コミュニティバス,坂井市　雄島ルート　①③便,三国港駅北口
1497,8,1,20,4096,0,コミュニティバス,坂井市　雄島ルート　①③便,つつじが丘
1498,8,1,21,4097,0,コミュニティバス,坂井市　雄島ルート　①③便,運動公園北口
1499,8,1,22,4109,0,コミュニティバス,坂井市　雄島ルート　①③便,三国運動公園
1500,8,1,23,4110,0,コミュニティバス,坂井市　雄島ルート　①③便,ポートタウン
1501,8,1,24,4111,0,コミュニティバス,坂井市　雄島ルート　①③便,桜ケ丘
1502,8,1,25,795,0,コミュニティバス,坂井市　雄島ルート　①③便,三国病院
1503,8,1,26,4004,0,コミュニティバス,坂井市　雄島ルート　①③便,みくに市民センター
1504,8,2,1,795,0,コミュニティバス,坂井市　雄島ルート　②便,三国病院
1505,8,2,2,4004,0,コミュニティバス,坂井市　雄島ルート　②便,みくに市民センター
1506,8,2,3,4111,0,コミュニティバス,坂井市　雄島ルート　②便,桜ケ丘
1507,8,2,4,4110,0,コミュニティバス,坂井市　雄島ルート　②便,ポートタウン
1508,8,2,5,4109,0,コミュニティバス,坂井市　雄島ルート　②便,三国運動公園
1509,8,2,6,4097,0,コミュニティバス,坂井市　雄島ルート　②便,運動公園北口
1510,8,2,7,4096,0,コミュニティバス,坂井市　雄島ルート　②便,つつじが丘
1511,8,2,8,4108,0,コミュニティバス,坂井市　雄島ルート　②便,三国港駅北口
1512,8,2,9,4107,0,コミュニティバス,坂井市　雄島ルート　②便,宿
1513,8,2,10,4106,0,コミュニティバス,坂井市　雄島ルート　②便,米ケ脇公園前
1514,8,2,11,656,0,コミュニティバス,坂井市　雄島ルート　②便,東尋坊
1515,8,2,12,4104,0,コミュニティバス,坂井市　雄島ルート　②便,安島
1516,8,2,13,4103,0,コミュニティバス,坂井市　雄島ルート　②便,崎浦
1517,8,2,14,4102,0,コミュニティバス,坂井市　雄島ルート　②便,松島水族館
1518,8,2,15,4101,0,コミュニティバス,坂井市　雄島ルート　②便,梶浦
1519,8,2,16,4100,0,コミュニティバス,坂井市　雄島ルート　②便,浜地
1520,8,2,17,4099,0,コミュニティバス,坂井市　雄島ルート　②便,雄島小学校口
1521,8,2,18,734,0,コミュニティバス,坂井市　雄島ルート　②便,陣ケ岡
1522,8,2,19,4097,0,コミュニティバス,坂井市　雄島ルート　②便,運動公園北口
1523,8,2,20,4096,0,コミュニティバス,坂井市　雄島ルート　②便,つつじが丘
1524,8,2,21,4042,0,コミュニティバス,坂井市　雄島ルート　②便,三国図書館
1525,8,2,22,4000,0,コミュニティバス,坂井市　雄島ルート　②便,三国駅前
1526,8,2,23,4001,0,コミュニティバス,坂井市　雄島ルート　②便,三国郵便局
1527,8,2,24,4002,0,コミュニティバス,坂井市　雄島ルート　②便,イーザ
1528,8,2,25,795,0,コミュニティバス,坂井市　雄島ルート　②便,三国病院
1529,8,2,26,4004,0,コミュニティバス,坂井市　雄島ルート　②便,みくに市民センター
1530,8,3,1,4043,0,コミュニティバス,坂井市　長畝ルート　①③便,霞の郷
1531,8,3,2,4044,0,コミュニティバス,坂井市　長畝ルート　①③便,城北
1532,8,3,3,4045,0,コミュニティバス,坂井市　長畝ルート　①③便,城北ふれあい会館前
1533,8,3,4,4046,0,コミュニティバス,坂井市　長畝ルート　①③便,仲村の家具
1534,8,3,5,4119,0,コミュニティバス,坂井市　長畝ルート　①③便,松川霞町
1535,8,3,6,4120,0,コミュニティバス,坂井市　長畝ルート　①③便,北霞２区
1536,8,3,7,4121,0,コミュニティバス,坂井市　長畝ルート　①③便,平章校前
1537,8,3,8,4122,0,コミュニティバス,坂井市　長畝ルート　①③便,丸岡霞郵便局
1538,8,3,9,825,11,コミュニティバス,坂井市　長畝ルート　①③便,丸岡バスターミナル
1539,8,3,10,4123,0,コミュニティバス,坂井市　長畝ルート　①③便,西里丸岡１区
1540,8,3,11,4124,0,コミュニティバス,坂井市　長畝ルート　①③便,西里丸岡１区北
1541,8,3,12,4125,0,コミュニティバス,坂井市　長畝ルート　①③便,乾下田
1542,8,3,13,4126,0,コミュニティバス,坂井市　長畝ルート　①③便,御幸１丁目
1543,8,3,14,4127,0,コミュニティバス,坂井市　長畝ルート　①③便,一本田福所２区
1544,8,3,15,776,0,コミュニティバス,坂井市　長畝ルート　①③便,宇田
1545,8,3,16,4129,0,コミュニティバス,坂井市　長畝ルート　①③便,玄女
1546,8,3,17,4130,0,コミュニティバス,坂井市　長畝ルート　①③便,里竹田
1547,8,3,18,4131,0,コミュニティバス,坂井市　長畝ルート　①③便,堀水
1548,8,3,19,4132,0,コミュニティバス,坂井市　長畝ルート　①③便,乗兼
1549,8,3,20,4133,0,コミュニティバス,坂井市　長畝ルート　①③便,坪江
1550,8,3,21,4134,0,コミュニティバス,坂井市　長畝ルート　①③便,のうねの郷第二コミュニティセンター
1551,8,3,22,4135,0,コミュニティバス,坂井市　長畝ルート　①③便,千田
1552,8,3,23,4136,0,コミュニティバス,坂井市　長畝ルート　①③便,下長畝
1553,8,3,24,4137,0,コミュニティバス,坂井市　長畝ルート　①③便,上長畝
1554,8,3,25,4043,0,コミュニティバス,坂井市　長畝ルート　①③便,霞の郷
1555,8,4,1,4043,0,コミュニティバス,坂井市　長畝ルート　②便,霞の郷
1556,8,4,2,4137,0,コミュニティバス,坂井市　長畝ルート　②便,上長畝
1557,8,4,3,4136,0,コミュニティバス,坂井市　長畝ルート　②便,下長畝
1558,8,4,4,4135,0,コミュニティバス,坂井市　長畝ルート　②便,千田
1559,8,4,5,4134,0,コミュニティバス,坂井市　長畝ルート　②便,のうねの郷第二コミュニティセンター
1560,8,4,6,4133,0,コミュニティバス,坂井市　長畝ルート　②便,坪江
1561,8,4,7,4132,0,コミュニティバス,坂井市　長畝ルート　②便,乗兼
1562,8,4,8,4131,0,コミュニティバス,坂井市　長畝ルート　②便,堀水
1563,8,4,9,4130,0,コミュニティバス,坂井市　長畝ルート　②便,里竹田
1564,8,4,10,4129,0,コミュニティバス,坂井市　長畝ルート　②便,玄女
1565,8,4,11,776,0,コミュニティバス,坂井市　長畝ルート　②便,宇田
1566,8,4,12,4127,0,コミュニティバス,坂井市　長畝ルート　②便,一本田福所２区
1567,8,4,13,4126,0,コミュニティバス,坂井市　長畝ルート　②便,御幸１丁目
1568,8,4,14,4125,0,コミュニティバス,坂井市　長畝ルート　②便,乾下田
1569,8,4,15,4124,0,コミュニティバス,坂井市　長畝ルート　②便,西里丸岡１区北
1570,8,4,16,4123,0,コミュニティバス,坂井市　長畝ルート　②便,西里丸岡１区
1571,8,4,17,825,11,コミュニティバス,坂井市　長畝ルート　②便,丸岡バスターミナル
1572,8,4,18,4122,0,コミュニティバス,坂井市　長畝ルート　②便,丸岡霞郵便局
1573,8,4,19,4121,0,コミュニティバス,坂井市　長畝ルート　②便,平章校前
1574,8,4,20,4120,0,コミュニティバス,坂井市　長畝ルート　②便,北霞２区
1575,8,4,21,4119,0,コミュニティバス,坂井市　長畝ルート　②便,松川霞町
1576,8,4,22,4046,0,コミュニティバス,坂井市　長畝ルート　②便,仲村の家具
1577,8,4,23,4045,0,コミュニティバス,坂井市　長畝ルート　②便,城北ふれあい会館前
1578,8,4,24,4044,0,コミュニティバス,坂井市　長畝ルート　②便,城北
1579,8,4,25,4043,0,コミュニティバス,坂井市　長畝ルート　②便,霞の郷
1580,8,5,1,4043,0,コミュニティバス,坂井市　高椋中ルート　①便,霞の郷
1581,8,5,2,4044,0,コミュニティバス,坂井市　高椋中ルート　①便,城北
1582,8,5,3,4045,0,コミュニティバス,坂井市　高椋中ルート　①便,城北ふれあい会館前
1583,8,5,4,4046,0,コミュニティバス,坂井市　高椋中ルート　①便,仲村の家具
1584,8,5,5,4047,0,コミュニティバス,坂井市　高椋中ルート　①便,霞交番前
1585,8,5,6,2003,1,コミュニティバス,坂井市　高椋中ルート　①便,丸岡中央商店街
1586,8,5,7,825,11,コミュニティバス,坂井市　高椋中ルート　①便,丸岡バスターミナル
1587,8,5,8,4138,0,コミュニティバス,坂井市　高椋中ルート　①便,下谷
1588,8,5,9,4139,0,コミュニティバス,坂井市　高椋中ルート　①便,高椋小学校
1589,8,5,10,4140,0,コミュニティバス,坂井市　高椋中ルート　①便,寅国
1590,8,5,11,4141,0,コミュニティバス,坂井市　高椋中ルート　①便,竜北
1591,8,5,12,904,0,コミュニティバス,坂井市　高椋中ルート　①便,儀間
1592,8,5,13,903,0,コミュニティバス,坂井市　高椋中ルート　①便,牛ケ島
1593,8,5,14,902,0,コミュニティバス,坂井市　高椋中ルート　①便,長崎高瀬
1594,8,5,15,4145,0,コミュニティバス,坂井市　高椋中ルート　①便,豊原高瀬
1595,8,5,16,4146,0,コミュニティバス,坂井市　高椋中ルート　①便,筑後清水
1596,8,5,17,4147,0,コミュニティバス,坂井市　高椋中ルート　①便,葉咲野
1597,8,5,18,4090,0,コミュニティバス,坂井市　高椋中ルート　①便,油為頭
1598,8,5,19,4089,0,コミュニティバス,坂井市　高椋中ルート　①便,高田
1599,8,5,20,901,0,コミュニティバス,坂井市　高椋中ルート　①便,四ツ柳
1600,8,5,21,4148,0,コミュニティバス,坂井市　高椋中ルート　①便,今市
1601,8,5,22,4149,0,コミュニティバス,坂井市　高椋中ルート　①便,四郎丸
1602,8,5,23,899,0,コミュニティバス,坂井市　高椋中ルート　①便,磯部島
1603,8,5,24,1084,0,コミュニティバス,坂井市　高椋中ルート　①便,熊堂
1604,8,5,25,1083,0,コミュニティバス,坂井市　高椋中ルート　①便,磯部福庄
1605,8,5,26,4153,0,コミュニティバス,坂井市　高椋中ルート　①便,宇随
1606,8,5,27,4154,0,コミュニティバス,坂井市　高椋中ルート　①便,羽崎
1607,8,5,28,4155,0,コミュニティバス,坂井市　高椋中ルート　①便,藤田神経内科病院前
1608,8,5,29,4156,0,コミュニティバス,坂井市　高椋中ルート　①便,新九頭竜１区
1609,8,5,30,4157,0,コミュニティバス,坂井市　高椋中ルート　①便,八丁
1610,8,5,31,4158,0,コミュニティバス,坂井市　高椋中ルート　①便,反保
1611,8,5,32,4087,0,コミュニティバス,坂井市　高椋中ルート　①便,丸岡南中
1612,8,5,33,4159,0,コミュニティバス,坂井市　高椋中ルート　①便,安田新東
1613,8,5,34,4160,0,コミュニティバス,坂井市　高椋中ルート　①便,高柳２区
1614,8,5,35,4161,0,コミュニティバス,坂井市　高椋中ルート　①便,吉政
1615,8,5,36,4162,0,コミュニティバス,坂井市　高椋中ルート　①便,共栄
1616,8,5,37,4163,0,コミュニティバス,坂井市　高椋中ルート　①便,西里丸岡
1617,8,5,38,825,11,コミュニティバス,坂井市　高椋中ルート　①便,丸岡バスターミナル
1618,8,5,39,4164,0,コミュニティバス,坂井市　高椋中ルート　①便,本町
1619,8,5,40,4165,0,コミュニティバス,坂井市　高椋中ルート　①便,室町
1620,8,5,41,4057,0,コミュニティバス,坂井市　高椋中ルート　①便,乾町
1621,8,5,42,4056,0,コミュニティバス,坂井市　高椋中ルート　①便,栄
1622,8,5,43,4044,0,コミュニティバス,坂井市　高椋中ルート　①便,城北
1623,8,5,44,4043,0,コミュニティバス,坂井市　高椋中ルート　①便,霞の郷
1624,8,6,1,4043,0,コミュニティバス,坂井市　高椋中ルート　②便,霞の郷
1625,8,6,2,4044,0,コミュニティバス,坂井市　高椋中ルート　②便,城北
1626,8,6,3,4056,0,コミュニティバス,坂井市　高椋中ルート　②便,栄
1627,8,6,4,4057,0,コミュニティバス,坂井市　高椋中ルート　②便,乾町
1628,8,6,5,4165,0,コミュニティバス,坂井市　高椋中ルート　②便,室町
1629,8,6,6,4164,0,コミュニティバス,坂井市　高椋中ルート　②便,本町
1630,8,6,7,825,11,コミュニティバス,坂井市　高椋中ルート　②便,丸岡バスターミナル
1631,8,6,8,4163,0,コミュニティバス,坂井市　高椋中ルート　②便,西里丸岡
1632,8,6,9,4162,0,コミュニティバス,坂井市　高椋中ルート　②便,共栄
1633,8,6,10,4161,0,コミュニティバス,坂井市　高椋中ルート　②便,吉政
1634,8,6,11,4160,0,コミュニティバス,坂井市　高椋中ルート　②便,高柳２区
1635,8,6,12,4159,0,コミュニティバス,坂井市　高椋中ルート　②便,安田新東
1636,8,6,13,4087,0,コミュニティバス,坂井市　高椋中ルート　②便,丸岡南中
1637,8,6,14,4158,0,コミュニティバス,坂井市　高椋中ルート　②便,反保
1638,8,6,15,4157,0,コミュニティバス,坂井市　高椋中ルート　②便,八丁
1639,8,6,16,4156,0,コミュニティバス,坂井市　高椋中ルート　②便,新九頭竜１区
1640,8,6,17,4155,0,コミュニティバス,坂井市　高椋中ルート　②便,藤田神経内科病院前
1641,8,6,18,4154,0,コミュニティバス,坂井市　高椋中ルート　②便,羽崎
1642,8,6,19,4153,0,コミュニティバス,坂井市　高椋中ルート　②便,宇随
1643,8,6,20,1083,0,コミュニティバス,坂井市　高椋中ルート　②便,磯部福庄
1644,8,6,21,1084,0,コミュニティバス,坂井市　高椋中ルート　②便,熊堂
1645,8,6,22,899,0,コミュニティバス,坂井市　高椋中ルート　②便,磯部島
1646,8,6,23,4149,0,コミュニティバス,坂井市　高椋中ルート　②便,四郎丸
1647,8,6,24,4148,0,コミュニティバス,坂井市　高椋中ルート　②便,今市
